Biscuit Type,log_B,Original model MSE,Corrected model MSE
Digestive,109266.43659184506,7.536467520877448e-06,5.606948611332751e-08
Hobnob,0.8612577041637905,4.0634319968638335e-08,3.4271383667520404e-08
Rich Tea,979.8945152643457,1.1933659567823936e-06,1.7317945530826226e-08
