Biscuit Type,Mean,Std,Required value,Probability of required value occuring,Number of stds value is from mean
Digestive,8.040066015954071e-07,6.695038679907206e-08,1.0048103846350215e-06,0.2706075109404127,2.9992923512489345
Hobnob,5.23076308366789e-07,9.140458363727407e-08,5.186358156892586e-07,96.1253503098635,0.04858063458996685
Rich Tea,3.249636584458592e-07,9.466415552812049e-08,2.8024432488720633e-07,63.66414062345769,0.47239985725503825
